title,create_year,number_of_acts,genres,settings,time_and_place,cast_size,orchestra_size,dancing,casting_notes,tags,ideal_for,synopsis,cluster
buddy - the buddy holly story,1989,2,Jukebox/Revue,"Period, Multiple Settings","Lubbock, Texas, Clovis, New Mexico, New York, Clear Lake, Iowa, January 1956 to February 1959",medium,Rock Combo,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, late teen characters",buddy holly;1950s;jukebox musical;rock and roll;star vehicle (male);concert;tour;band;dj;musicians;actor-musician;death;tragedy;biographical,"College/University, Professional Theatre, Regional Theatre, Star Vehicle Male","Today, Buddy Holly is renowned as a pioneer of rock and roll and an influential figure in the music world of the 1950s. However, his tragic death at the age of 22 - “the day the music died” - meant the world never got to experience the full force of his talent. The Buddy Holly Story tells the story of his three year journey towards becoming one of the top recording artists in the world. From starting out as a Country & Western singer in Lubbock, Texas and forming The Crickets with his friends Joe and Jerry, to signing his first contract, to moving to New York and falling in love, to the final catastrophic tour of the Midwest. When Buddy Holly’s plane crashed shortly after take-off, the tragic accident not only killed Holly, but also snatches away the lives of two other star musicians: – Ritchie Valens (17) and the Big Bopper (28).Holly’s life has become the stuff of legend and The Buddy Holly Story celebrates the humor, ambition, charm, and sheer talent that was Buddy Holly.",11
budgie,1988,2,,,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, late teen characters",,,"The show revolves around Budgie Bird, a small-time thief and con-man currently employed as a barker for a Soho strip club.  Budgie's life changes when Maurice Kahn, a violent criminal on the run, asks him to hide his suitcase full of cash.  Budgie proceeds to gamble most of the money away.  Soon, Kahn escapes from the authorities and comes back to hunt for Budgie.  Meanwhile, Budgie's loyal girlfriend, Hazel, has serious doubts about their relationship.",0
bugsy malone,1983,2,Comedy,"Contemporary, Multiple Settings","new york, 1929",medium,Small,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes early teen, late teen, child characters",child performers;tween;teen;new york;bronx;gangs;spoof;slapstick;1920s;gangland;rivalry;speakeasy;junior version,"Community Theatre, High School, Large Cast","It is 1929 in New York and the city is divided by gang warfare. On one side, Dandy Dan’s mob terrorise the district, taking out those they turn against with their new splurge guns. On the other side, Dandy Dan’s rival, Fat Sam, runs his successful Grand Slam Speakeasy. There, he deals with business and enjoys the attentions of his girlfriend, the seductive Tallulah. However Sam is jealous of Dandy Dan’s gang as he still uses old-fashioned custard pies to take out their victims. When Fat Sam’s gang is brutally splurged and his empire under severe threat, he engages the help of Bugsy Malone, a smooth-talking man about town. While Bugsy simultaneously attempts to woo Blousey Brown, the new-girl singer in town, he helps Fat Sam steal a fresh delivery of splurge guns from Dandy Dan. However Bugsy’s efforts cost him his relationship with Blousey after he lets her down by not taking her to Hollywood as promised. Returning to the speakeasy, Blousey and the rest of Fat Sam’s crew are unaware of Dandy Dan’s intent for revenge. His mob burst into the speakeasy and chaos ensues. Splurge, custard pies, and flour bombs fly across the bar. As the pandemonium comes to a sticky end, it emerges that Bugsy and Blousey have reconciled and there is finally peace between the two rival gangs.",2
bullets over broadway,2014,2,Comedy,"Multiple Settings, Period","new york city, 1920s",medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",woody allen;star vehicle (male);star vehicle (female);film adaptation;gangsters;tap;cotton club;broadway;jukebox;jukebox musical;1920s;jazz era;jazz;mobster;corruption;playwright;america,"College/University, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male, High School","Welcome to the 1920s and prohibition-era New York! 
Written by Woody Allen and based on his 1994 film of the same name, Bullets Over Broadway tells the story of David Shane, an aspiring young playwright who is determined to find a backer to produce his show on Broadway. He soon meets Nick Valenti, a man with the cash David needs. However, there is one catch. Valenti is one of New York’s most influential mobsters and he is determined that David's new play will be a vehicle for his ditzy and talentless girlfriend, Olive. Against a mural of dancing chorus girls, Valenti appoints Cheech as Olive’s bodyguard while she rehearses for the show. However, things take a turn when Cheech discovers a talent for script-writing, Olive catches the eye of male lead, Warner Purcell, and David finds himself falling for his leading lady. 
Featuring a string of popular 1920s tunes, including ""Let's Misbehave,"" ""'T'ain't Nobody's Biz-ness If I Do"" and ""There's a New Day Comin'!"", Bullets Over Broadway is a jazzy romp of a show!",0
by jeeves,1996,2,"Comedy, Farce","Period, Unit/Single Set","London, England 1900-1910",medium,Small,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, late teen, mature adult characters",farce;comedy;star vehicle (male);period costumes;friendship;love;misadventures;physical comedy;british accent;american accent;mistaken identity;romance;show within a show,"College/University, Community Theatre, High School, Professional Theatre, Regional Theatre, Star Vehicle Male","At a benefit gala to raise money for a new church steeple, Bertram “Bertie” Wooster is preparing to take the stage. The banjo-playing star is thrown for a loop when he finds his banjo has been stolen! Bertie’s faithful manservant, Jeeves, suggests Bertie tell the story of his adventure to Totleigh Towers to entertain the impatient audience. Bertie recounts to the audience how he became embroiled in the romances of several dim-witted members of the privileged class. With mistaken identities, romantic entanglement, and the adventures of the upper class, By Jeeves is the quintessential British musical farce.",0
by jupiter,1942,2,,,the land of the amazons,medium,,,"Mostly female cast
                                                                                    
                                            Includes young adult, adult, mature adult characters",rodgers and hart,,"By Jupiter takes place in the land of the Amazons, which is ruled by women.  An army of Greek soldiers arrives seeking the Sacred Girdle of Diana, currently in use by the Queen of the Amazons.  The women initially refuse to give up the Sacred Girdle and put up a ferocious front.  However, by the end of the show, the Greeks and Amazons find themselves attracted to one and another and make peace.  Finally, the Amazons agree to hand over the Girdle.",0
bye bye birdie,1960,2,"Comedy, Romance",Period,"1958, ohio, new york",large,Large,Some Dance,"Mostly female cast
                                                                                    
                                            Includes adult, early teen, late teen, young adult, mature adult characters",elvis presley;teenagers;romance;1950s;large cast;rock and roll;comedic;loyalty;secretary;music;musician;kiss;teen;teens;growing up;happy;dance;pop;elvis;singer;heartthrob;celebrity;small town;small-town;rock;rocker;rock star;spanish;hispanic;junior version;michael stewart;charles strouse;lee adams;tony award best musical;golden age;golden age musical;tony award;tony nominee,"Community Theatre, High School, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","The year is 1958, and the much-adored rock-and-roll idol -- Conrad Birdie -- has been drafted into the US army. His songwriter and agent, Albert, and Albert’s secretary and some-time girlfirend, Rosie, hatch a plan for a farewell performance to take place on The Ed Sullivan Show, which they hope will help sell Birdie’s new song “One Last Kiss,” and ultimately save Almaelou records from going under. To cap off the performance, Birdie will actually give ‘one last kiss’ to Kim MacAfee, an avid member of the Conrad Birdie fan club from Sweet Apple, Ohio.
When Albert and Rosie head to Sweet Apple to prepare for Birdie’s arrival, things start to unravel. Kim’s father is starstruck at the thought of being on The Ed Sullivan Show with his daughter, and Kim’s new steady, Hugo gets jealous at the thought of Kim kissing Conrad on national television.",0
cabaret,1966,2,Drama,"Period, Multiple Settings",1929-1930,large,Large,Heavy,"Mostly female cast
                                                                                    
                                            Includes adult, young adult, mature adult characters",world war ii;germany;nazi;hitler;mein kampf;cabaret;master of ceremonies;berlin;sexy;night club;seedy;anti-semitism;jewish;swastika;star vehicle (female);concept musical;john kander;fred ebb;kander and ebb;tony award best musical;tony award;tony nominee,"College/University, Community Theatre, Mature Audiences, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Cabaret takes place from 1929-1930, a time when Berlin, in the midst of a post-World War I economic depression, is transitioning from a center of underground, avant-garde cultural epicenter to the beginnings of Hitler’s totalitarian regime and the rise of the Nazi Party. Into this world enters Clifford Bradshaw, a struggling American writer looking for inspiration for his next novel. On his first night in Berlin, Cliff wanders into the Kit Kat Klub, a seedy nightclub overseen by the strange, omniscient and gender-bending Master of Ceremonies, “the Emcee.” Here, Cliff meets Sally Bowles, a vivacious, talented cabaret performer, and an utterly lost soul. Sally and Cliff begin a relationship, which blossoms unexpectedly into a dream-like romance. As time passes, however, the situation in Berlin changes from exciting and vital to ominous and violent; Ernst, Cliff’s first German friend, turns out to be an up-and-coming member of the Nazi Party, and Herr Schultz, a fellow boarder at Fraulein Schneider’s guest house (and Schneider’s fiancee), is the victim of an Anti-Semitic hate crime. When he finds out that Sally is pregnant, Cliff decides that they must leave for America at once, before things get any worse. Sally, afraid, confused, and unsure that she’ll ever really be able to trade the sexy, illicit cabaret lifestyle for motherhood, gets an abortion, and tells Cliff that he must leave without her. With a distinctly Brechtian dose of provocation and a score featuring songs that have become classics of the American Musical Theater, Cabaret is a fierce, meaty musical that pushes the boundaries of the form and literally holds “the mirror up to nature.”",10
la cage aux folles,1983,2,Comedy,Multiple Settings,"st. tropez, france, summer in the 1980s",medium,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult, late teen characters",drag;homosexual;spectacle;family;love;tolerance;romantic;feel-good;joyous;happy;lgbtq;queer theatre;jerry herman;harvey fierstein;tony award best musical;tony award,"College/University, Large Cast, Mostly Male Cast, Professional Theatre, Regional Theatre, Star Vehicle Male","Georges is the owner of the La Cage Aux Folles nightclub, which features a drag show starring his partner and the love of his life, Albin.  After twenty years of un-wedded bliss, Georges and his partner Albin face the hardest challenge of their relationship, yet: meeting their son, Jean-Michel’s fiance’s parents.  Albin has always raised Jean-Michel, Georges’ biological son, as his own.  But when Jean-Michel falls in love and becomes engaged to the daughter of an ultra-conservative, anti-gay politician, Georges feels compelled to try to present a more “traditional” family to Jean-Michel’s potential in-laws.  When Albin tries and fails to take on a masculine persona in the role of Uncle Al, he gets more creative in order to find a way to be part of the “meet the parents” experience.  Based on Jean Poiret’s 1973 French play of the same name, the multi-Tony award-winning La Cage Aux Folles is a musical filled with delightful spectacle and great heart.",0
calamity jane,1961,2,"Comedy, Romance","Period, Multiple Settings","Deadwood, South Dakota, 1876",large,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, late teen characters",wild west;frontier;love;secret love;mistaken identity;sharpshooter;gun shot;cowboys;nineteenth century;vaudeville;farcical;saloon,"College/University, Community Theatre, Regional Theatre, Star Vehicle Female","Welcome to the Wild West! In Deadwood, Calamity Jane can outrun and outshoot any man in town…except the infamous Wild Bill Hickok. When there is a mix-up at the local saloon-theatre, Calamity is determined to save the day. She travels to Chicago to bring the celebrated actress, Adelaide Adams, to perform in Deadwood. However, despite her best intentions, she actually returns with Adelaide Adams’ maid, Katie Brown, instead. When Katie confesses that she is not the star they were expecting, Calamity steps in once more to convince the local townsfolk to give Katie a chance. Katie soon wins the heart of every man in town, including Lieutenant Danny Gilmarten, the object of Calamity’s affections. Encouraged by Katie, Calamity sheds her tomboy persona and transforms into a beautiful woman at the local Fort ball. She soon sees that Katie and Danny are in love, but she overcomes her jealousy when she realizes that her heart actually belongs to Bill.",2
call me madam,1950,2,"Satire, Romance","Period, Multiple Settings","Washington, Lichtenburg, 1950",medium,Medium,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",love;socialite;europe;star vehicle (female);romance;washington;money;ambassador;politics;golden age;golden age musical;satirical;royalty;tony nominee;tony award,"College/University, Professional Theatre, Regional Theatre, Star Vehicle Female","Sally Adams is the “hostess with the mostest”! Her parties in Washington are legendary and her money is desired by everyone. When President Harry Truman appoints her as ambassador to the small, fictitious European nation of Lichtenburg, she takes everyone by surprise. What Sally lacks in policy knowledge, she makes up for in charm. Everyone is taken with Sally's practical, down-home manner--especially the nation's handsome Prime Minister, Cosmo Constantine. Meanwhile, Sally's secretary, Kenneth Gibson, breaks protocol and falls in love with the beautiful Princess Maria. When Sally becomes involved in the nation’s politics, she starts to ruffle some feathers. The country is plunged into its first general election in twenty years and Sally’s involvement in campaigning for Cosmo causes her to be recalled to America. However, the spirit of democracy takes over in Lichtenburg. Princess Maria is granted permission to propose to Kenneth and the newly elected Prime Minister, Cosmo visits Sally in Washington to grant her the royal order of Dame and declare his love.
Irving Berlin's sparkling political satire, Call Me Madam, is based on the real-life Washington DC hostess and Democratic Party fundraiser Perle Mesta, who was appointed the Ambassador to Luxembourg in 1949.",10
camelot,1960,2,Drama,Multiple Settings,"the kingdom of camelot in a mythic time before modern history -- the days of king arthur and the knights of the round table, when there is still magic",large,Large,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, child, young adult, mature adult, elderly, late teen characters",king arthur;legend;british;myth;epic;love;adultery;royalty;right;might;war;golden age;golden age musical;lerner and loewe,"Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Lerner and Loewe’s majestic Camelot brings the legend of King Arthur and his Knights of the Round Table to life with an extraordinary score and a story that poignantly dramatizes  the human conflict at the heart of this classic tale.  Based on T.H. White’s novel, The Once and Future King, Camelot tells the story of Arthur, a young squire who becomes King after extracting the sword Excalibur from its legendary rock.  Camelot opens in the midst of the battle that destroyed King Arthur’s kingdom, and goes back to tell the story of how the battle came to be.  The musical follows Arthur from a young, ambitious, idealistic King who dreams of creating a just society to the despairing king bearing witness to his dream’s demise.  Arthur’s dream is inspired by his vivacious Queen Guenevere.  Together, they create a kingdom where might works at the service of right and the King serves at a round table with no head — a symbol of collaboration and unity.  But just as this utopian vision starts to become reality, everything begins to unravel.  When Guenevere falls in love with Arthur’s most celebrated, beloved, and loyal knight, Lancelot, they begin a romance as doomed as it is passionate.  Their troubles are compounded when Arthur’s illegitimate son, Mordred, arrives on the scene.  In a world of human realities, can Camelot achieve the utopia of which Arthur dreams?",7
carmelina,1979,2,,,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, late teen characters",,,"Taking place in the small Italian village of San Forino, about eighteen years after the end of World War II, the show concerns Carmelina and her 17-year-old daughter, Gia.  Carmelina has told her daughter that her father is an American soldier, who had heroically died in battle.  Even though a local cafÃ© owner, Vittorio, woos Carmelina, she refuses to love again.  However, Carmelina harbors a painful secret.  She had actually had love affairs with three different American soldiers “ and she does not know which one is the father of Gia.  Trouble ensues when the three American Veterans decide to have a reunion back in San Forino.",1
carmen jones,1943,2,"Drama, Romance",,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, late teen, mature adult characters",rodgers and hammerstein,,"In a Southern town during World War II, parachute maker Carmen Jones successfully seduces a soldier named Joe away from his fiancee. Soon, Carmen loses interest in Joe when she meets Husky Miller, a successful prize fighter. On the night of Husky's big fight Joe ends up stabbing Carmen to death in a fit of jealousy.",0
carnival,1961,2,"Drama, Romance",,,large,,,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult characters",,,"Lili, a lonely orphan, is enchanted with a traveling carnival troupe.  She finally gets to join the troupe and ends up working with the puppet act. Meanwhile, both the puppeteer, Paul, and the magician, Marco the Magnificent, have fallen in love with Lili.  The two men engage in a fierce rivalry for Lili's affections.  In the end, Lili chooses Paul and they live happily ever after.",0
a carolina christmas,2019,2,Comedy,"Contemporary, Unit/Single Set","Alabama, Christmas, Present Day",medium,Recording,,"Mostly female cast
                                                                                    
                                            Includes young adult, adult, mature adult characters",alabama;southern accent;christmas;new work;contemporary;comedic;snowstorm;pageant queen;marine;2m 3f scenes,"Mostly Female Cast, Regional Theatre, Community Theatre","A snowstorm has stranded Ashley and Savannah, two pageant queens, at the Birmingham airport. Having missed the Miss Toyland pageant in Atlanta, they will now have to enter Miss Chicken Plucker in order to win enough money to pay for graduate school. Two Marines, home on leave, are also stranded and the last available lodging anywhere near Birmingham is a bed and breakfast in Bug Tussle, Alabama. After its eccentric owner has waited more than a year, The Lady Marmalade Bed Breakfast will finally have its first guests who throughout the course of their stay show that they aren’t afraid of armored vehicles, hors d’oeuvres hours featuring Elvis robes, pregnant armed robbers at The Waffle Barn, and helping out The First Hope of The Last Chance Baptist Church with the threatened cancellation of its Food Pantry PaLooza.",3
"caroline, or change",2003,2,Drama,Multiple Settings,"lake charles, louisiana, 1963",large,Large,Musical Staging,"Includes adult, late teen, young adult, child, mature adult characters",civil rights;jfk;maid;african-american;jewish;motown;servants;1960s;martin luther king jr;money;death;children;anthropomorphism;anger;clarinet;mis-memory play;olivier award;prejudice;race;religion;hatred;family;mourning;tony nominee,,"1963, Lake Charles, Louisiana. While Martin Luther King Jr. is preaching and young demonstrators are marching, Caroline Thibodeaux, an African-American single mother of four, is underground, in the basement of the Gellman’s home, where nothing ever changes. Her company is the hum of the washer, the croon of the radio, the heat of the dryer, and -- occasionally -- 8-year-old Noah Gellman. Noah is a motherless boy who is unable to connect with either his eager-to-please stepmother, Rose, or his distant and grieving father, Stuart, and he idolizes Caroline. Rose decides that any change Noah leaves in his pants pockets can be taken by Caroline when she does the laundry. In response, Noah quietly deposits quarters in the bleach cup, hoping to somehow become a part of  Caroline’s life. Caroline, loath to take money from a child, nevertheless needs to provide for her family, including the headstrong, rebellious, and hopeful Emmie. 
From the quarters in the bleach cup to the protests in the streets, change is coming for Caroline, whether she wants it or not. Loosley inspired by remembrances of bookwriter and lyricist Tony Kushner’s own childhood as a young Jewish boy in Louisiana, Caroline, or Change is a breathtaking, original, through-sung musical that is both a glimpse at a moment in history and a powerful tour-de-force character study. Featuring music by Jeanine Tesori that runs the gamut from gospel to Motown to classical to Jewish folk and klezmer, Caroline, or Change is a remarkable addition to the contemporary musical theatre canon.",0
carousel,1945,2,"Drama, Romance",Multiple Settings,"a small fishing town in new england, 1873",large,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, elderly, late teen, child, early teen characters",leading man;roles for children;musical comedy;musical drama;social themes;americana;classic broadway;leading lady;star vehicle (female);star vehicle (male);love;abuse;domestic violence;death;forgiveness;golden age musical;dream ballet;opening number;production number;operatic;rodgers and hammerstein;richard rodgers;oscar hammerstein;rodgers;hammerstein,"Chamber Opera, College/University, Community Theatre, Diverse Cast, Ensemble Cast, High School, Large Cast, Professional Opera, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","Richard Rodgers once wrote that of all the musicals he wrote, Carousel was his personal favorite.  This American classic features some of Rodgers and Hammerstein's most iconic pieces, including “If I Loved You”, “Mister Snow”, “June Is Bustin Out All Over”, and the iconic “You’ll Never Walk Alone.”  Carousel was Rodgers and Hammerstein’s second collaboration, and was adapted from Ferenc Molnar’s 1909 play Liliom. They transferred the Budapest setting of Liliom to the New England coastline, where Carousel takes place. The story tells of roguish carnival barker Billy Bigelow and mill worker Julie Jordan, both loners, who meet and fall in love. Their marriage ends up costing both their jobs, and things go downhill from there. Billy’s desperation makes him violent against those he loves most, and drives him to commit crimes in order to provide for his family. When Billy falls in with con-man Jigger Craigin, he ends up getting caught in the midst of an armed robbery and takes his own life. Billy is allowed to return to earth for one day 15 years later, and he encounters the daughter he never knew. Louise is a lonely, friendless teenager, her father's reputation having haunted her throughout her young life. Yet Billy is able to instill in both the child and her mother a sense of hope. Voted the best musical of the 20th century by Time Magazine, Rodger’s and Hammerstein’s Carousel is the classic American musical, spanning heaven and earth in its exploration of human frailty, resilience, and the power of forgiveness.",4
carrie: the musical,1988,1,Horror,Multiple Settings,"present, small town of chamberlain, maine",large,Rock Combo,Some Dance,"Mostly female cast
                                                                                    
                                            Includes late teen, young adult, adult characters",small town;misfit;bullying;teenagers;bloody;creepy;superpower;prom,"College/University, Community Theatre, High School, Professional Theatre, Regional Theatre","In this revamped, contemporary version of the famous (and infamous) 1988 production, Carrie: The Musical follows a young woman with telekinetic powers. An outcast at school, where she is bullied viciously for her differences, Carrie is also lost at home, with a fervently religious mother whose love traps her in its maw. When PE teacher Miss Gardner, kind classmate Sue Snell, and boyfriend Tommy Ross reach out to try and help Carrie, it seems that for once, Carrie might have a shot at being accepted. But Chris Hargensen, the class’s most vicious bully, has other ideas. Pushed to the brink, Carrie’s powers threaten to overwhelm her, and devour everyone around her in flame.",3
catch me if you can,2011,2,"Comedy, Historical/Biographical",Multiple Settings,"1960’s, united states, various settings",medium,Medium,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult characters",4th wall;narrative;based on a true story;film adaptation;adapted from film;biographical;dance heavy;pop score;star vehicle (male);historical;con artist;deception;conning;television;1960s;tony nominee,"College/University, Community Theatre, High School, Large Cast, Professional Theatre, Regional Theatre","Based on the unbelievable true story of one of the most famous con artists in history, Frank Abagnale Jr., Catch Me If You Can is a rousing musical set in the 1960s. We begin as Frank is captured by Agent Carl Hanratty, after years of pursuit. Frank, however, thinks the audience deserves to hear his version of the truth, and narrates his life as a hip, dance-heavy variety television show. We see Frank, as a teenager, run away from his unhappy home to live a life of great adventure, conning people by assuming a multitude of identities: airplane pilot, doctor, and lawyer, to name a few. A fast, rollicking musical by the creative team behind Hairspray, Catch Me If You Can tells the tale of an ingenious, yet lonely, boy looking for his place in the world.",3
cats,1981,2,"Drama, Comedy, Fairy Tale/Fantasy",Unit/Single Set,"a junkyard, evening",large,Large,Heavy,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult characters",literature;poems;cats;dogs;animals;ballet;memory;evening;junkyard;heaven;concept musical;mega musical;tony award best musical;tony award;tony nominee;olivier award,"College/University, Community Theatre, Diverse Cast, Ensemble Cast, High School, Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Theatre For Young Audiences (TYA)","Based on T.S. Eliot’s whimsical collection of poems, Old Possum’s Book of Practical Cats, Andrew Lloyd Webber’s popular musical brings together a tribe of Jellicle Cats on a moonlit evening, who must make the “Jellicle choice” to decide which of them will ascend to the mysterious Heaviside Layer to be reborn. Featuring such celebrated standards as the haunting “Memory,” Cats was an international phenomenon and its original production is still the fifth-longest-running show on Broadway. A magical, moving, and often hilarious glimpse into the lives of others, Cats takes Eliot’s lyrical poetry and puts it into the mouths of a diverse company of singing, dancing felines.",14
cats young actors edition,2019,1,"Drama, Fairy Tale/Fantasy","Fantasy/Imaginary, Simple/No Set","An Evening, A Junkyard",large,,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes late teen, early teen characters",fantasy;cats;animals;dance;ballet;junkyard;evening;journey;heaven;ensemble;youth;adaptation;poetry;literature;flexible casting,"Community Theatre, Elementary School, High School, Middle School","Based on T.S. Eliot’s whimsical collection of poems, Old Possum’s Book of Practical Cats, Andrew Lloyd Webber’s popular musical brings together a tribe of Jellicle Cats on a moonlit evening, who must make the “Jellicle choice” to decide which of them will ascend to the mysterious Heaviside Layer to be reborn. Featuring such celebrated standards as the haunting “Memory,” Cats was an international phenomenon and its original production is still the fifth-longest-running show on Broadway. This Young Actors Edition of the beloved show retains the magic and emotions of the original, providing a glimpse into the lives of the assorted Cats.",14
chaplin: the musical,2010,2,"Drama, Comedy, Farce","Period, Multiple Settings","London, America, 1900-1972",medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, young adult, mature adult, child, early teen characters",star vehicle (male);america;comedy;comedic;sadness;son;abandonment;gossip;movies;exile;victim;biographical;pain;workhouse;poverty;fame;london;love;brothers;dementia;silent movies;charlie chaplin;2m scenes;1m 1f scenes;communism;hollywood,"Ensemble Cast, Professional Theatre, Regional Theatre, Star Vehicle Male","Thomas Meehan and Christopher Curtis’ musical tracks the life and changing fortunes of the famous silent movie star, Charlie Chaplin. In 1913, Chaplin arrived in Hollywood aged just 24 years old. He experienced a meteoric rise from an unknown, small-time London music hall performer to becoming one of the richest, most famous man in the movie business. His iconic role as The Little Tramp propelled him to stardom but fame and notoriety posed its own challenges for Chaplin. With three failed marriages, a paternity suit, and a ruthless journalist determined to expose him as a communist, Chaplin’s fall from grace was meteoric and he spent the remainder of his life exiled in Switzerland. Charlie Chaplin: The Musical moves backward and forward throughout time, exploring how Chaplin’s childhood and inner insecurities shaped Hollywood’s greatest star….and also created his biggest problems. Finally, he is able to escape his past with the help of one woman--Oona O’Neill. Her unconditional love and support allow Chaplin to truly be himself and let go of The Little Tramp.",0
charlie and the chocolate factory,2013,2,"Comedy, Fairy Tale/Fantasy","Contemporary, Fantasy/Imaginary, Multiple Settings",Present Day,large,Large,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes early teen, adult, mature adult, late teen, young adult, elderly characters",inventor;maverick;contemporary mt;contemporary;large cast;factory owner;fantasy;fantastical;greed;poverty;grandfather;family;grandson;candy;prize;reward;teen roles;teenager;family-friendly;puppetry,"Large Cast, Professional Theatre","Roald Dahl’s celebrated tale of Charlie Bucket and the eccentric confectioner, Willy Wonka, was reworked for the stage in 2013 with a new book and score from David Greig, Marc Shaiman, and Scott Wittman.
When young Charlie wins a golden ticket to the mysterious Wonka Chocolate Factory, it's the chance of a lifetime to feast on the sweets and chocolates that have always been right under his nose but unaffordable for the Bucket family. Could it also be his family’s route out of poverty? Along with the other winners--Veruca Salt, Violet Beauregarde, Mike Teavee, and Augustus Gloop--Charlie is swept inside of the mysterious factory with his Grandpa Joe. Inside, the winners encounter a magical world full of amazement, innovation, sugary treats, and, of course, Oompa-Loompas. But as the winners begin to let their greed and selfish nature's get the better of them, it seems that everything is not as sweet as it seems. Finally, Charlie is the last child standing--the only child not to have succumbed to the sweet temptations of Willy Wonka’s magical world. His humble, loyal nature has not gone unnoticed by Mr. Wonka, and Charlie’s reward is more than he could ever have dreamed.
Editor’s Note: The show was reworked in 2017 for its Broadway premiere and this guide is based on this version of the musical, which has since been adopted across the world.",0
charlotte sweet,1982,2,"Satire, Comedy","Unit/Single Set, Period","End of the Victorian era, England",medium,,,"Includes adult, late teen, young adult, mature adult characters",gilbert and sullivan;music hall;melodrama;victorian england;english accent;liverpool;satire;off-broadway;drama desk nominee;educational;rhyme;exploitation;love;singer,"Community Theatre, College/University, Professional Theatre, Regional Theatre, Small Cast","This all-sung, all-rhymed musical was championed by such notables as Al Hirschfeld, Harold Prince, and Leonard Cohen.  It is uniquely educational in demonstrating all vocal types, as embodied by its “Circus of Voices.”
Set in Victorian England, Charlotte Sweet spotlights Charlotte, a girl with one of the highest & most beautiful soprano voices in the world.  Because of her father's debts, she is forced to leave Ludlow Ladd (her Liverpool sweetheart) and join Barnaby Bugaboo's Circus of Voices: a troupe of freak voices including low-voiced Katinka Bugaboo, fast-voiced Harry Host, bubble-voiced Cecily Macintosh, and Skitzy Scofield (with dual personalities & voices).
Becoming the troupe's biggest sensation, Charlotte is mercilessly exploited by Barnaby until she has a vocal breakdown. Thereupon, Barnaby & his wife Katinka addict Charlotte to helium balloons in order to maintain her high notes. Only when Ludlow Ladd arrives in disguise, is Charlotte able to rescue herself, in a scene full of surprises.",6
charlotte's web,1989,2,"Drama, Comedy","Contemporary, Multiple Settings","Maine, America",medium,Small,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes child, early teen, adult, late teen, young adult characters",farm;maine;pig;american accent;county fair;farmer;tya;teen roles;friendship;amazement;1m 1f scenes;teen scenes;spider;animals;rat;innocence;family;sacrifice;uil,"College/University, Community Theatre, High School, Middle School, Regional Theatre, Theatre For Young Audiences (TYA)","As the sun rises on the Arable’s farm, Fern Arable discovers that her father is planning on killing the runt of the litter of pigs born during the night. She runs to save it and persuades her father to let her keep the pig, whom she names Wilbur. Wilbur is taken to the farm of her uncle, Homer Zuckerman, where he meets the other farmyard animals. However, Wilbur is lonely without a special friend of his own...that is, until he meets Charlotte--a spider. Charlotte decides to save Wilbur from the fate of all other pigs and she begins to spin the words “Some Pig” in her web. When her words are discovered, the Zuckermans are astounded and realize the potential for publicity and financial revenue. 
When more words appear, the story soon spread around and reporters descend on the Zuckerman farm. Homer is persuaded to take Wilbur to the county fair, where he competes in the ‘Best Pig’ competition. Knowing that she is near the end of her life, Charlotte agrees to go with Wilbur as she know he needs her help to produce more words. Her final word, before releasing her sack of eggs, is ‘Humble’. Although Wilbur does not win the prized blue ribbon, the Zuckerman family is overjoyed to find out that he has been awarded a special medal and a cash prize. When it is time to leave, Charlotte reveals to Wilbur that she is dying and does not have the strength to travel. Wilbur is sad to lose his friend, but he takes her egg sack to honor her memory and hatch them back in the barn.",6
